Date;S&P 500 [%];inloopo ETF Strategie [%];DAX [%];DOW [%];NASDAQ [%];;
28.01.1998;0.00%;;0.00%;0.00%;0.00%;;
29.01.1998;1.07%;;0.90%;0.70%;0.50%;;
30.01.1998;-0.05%;X;0.60%;-0.80%;0.20%;;
02.02.1998;0.96%;X;1.70%;2.50%;2.80%;;
03.02.1998;0.80%;X;0.10%;0.60%;0.90%;;
04.02.1998;0.25%;X;-0.20%;-0.40%;1.20%;;
05.02.1998;0.30%;X;1.00%;-0.20%;-0.90%;;
06.02.1998;0.15%;X;-1.10%;0.90%;1.70%;;
09.02.1998;0.25%;X;1.20%;-0.10%;-1.00%;;
10.02.1998;0.44%;X;-0.90%;1.40%;1.50%;;
11.02.1998;0.24%;X;1.50%;0.20%;-0.10%;;
12.02.1998;-0.10%;X;-0.80%;0.70%;0.50%;;
13.02.1998;0.29%;X;-1.10%;0.00%;-0.70%;;
17.02.1998;0.10%;X;0.50%;0.30%;-0.70%;;
18.02.1998;0.44%;X;1.50%;0.60%;1.10%;;
19.02.1998;0.15%;X;0.80%;-0.90%;1.40%;;
20.02.1998;-0.10%;X;-0.50%;0.50%;0.30%;;
23.02.1998;0.82%;X;-0.30%;0.00%;2.20%;;
24.02.1998;-0.29%;X;1.40%;-0.50%;-1.10%;;
25.02.1998;0.48%;X;-1.20%;1.00%;2.40%;;
26.02.1998;0.58%;X;1.10%;0.40%;0.50%;;
27.02.1998;0.33%;X;1.20%;0.60%;-1.10%;;
02.03.1998;0.05%;X;0.30%;0.10%;-1.40%;;
03.03.1998;-0.05%;X;0.50%;0.40%;-0.20%;;
04.03.1998;-0.19%;X;0.30%;-0.50%;0.40%;;
05.03.1998;-0.95%;X;-0.20%;-1.10%;-4.50%;;
06.03.1998;0.77%;X;-2.40%;1.50%;3.20%;;
09.03.1998;0.91%;X;1.70%;0.00%;-3.00%;;
10.03.1998;0.33%;X;1.20%;0.90%;1.80%;;
11.03.1998;0.75%;X;1.20%;0.40%;0.50%;;
12.03.1998;1.17%;X;0.40%;-0.20%;0.80%;;
13.03.1998;0.28%;X;-0.10%;-0.70%;0.50%;;
16.03.1998;0.14%;X;0.90%;1.40%;0.90%;;
17.03.1998;0.46%;X;-0.40%;0.40%;-1.00%;;
18.03.1998;0.32%;X;1.50%;0.30%;0.80%;;
19.03.1998;0.46%;X;-0.20%;0.30%;0.80%;;
20.03.1998;0.82%;X;-0.20%;1.20%;-1.40%;;
23.03.1998;0.14%;X;1.60%;-1.00%;0.80%;;
24.03.1998;0.45%;X;0.40%;1.00%;1.60%;;
25.03.1998;-0.04%;X;0.00%;-0.40%;1.40%;;
26.03.1998;-0.09%;X;1.60%;-0.30%;0.30%;;
27.03.1998;-0.27%;X;-0.90%;-0.60%;-0.50%;;
30.03.1998;-0.36%;X;0.30%;-0.20%;-0.40%;;
31.03.1998;0.77%;X;-0.40%;0.20%;1.20%;;
01.04.1998;-0.09%;X;0.90%;0.80%;0.60%;;
02.04.1998;1.03%;X;0.50%;1.30%;0.10%;;
03.04.1998;0.76%;X;0.90%;0.00%;0.30%;;
06.04.1998;0.18%;X;1.30%;0.60%;-2.30%;;
07.04.1998;-1.28%;X;0.80%;-0.80%;-1.90%;;
08.04.1998;-0.54%;X;1.10%;-0.70%;0.80%;;
09.04.1998;0.22%;X;-1.60%;1.20%;0.50%;;
